DateOfRecord,DateOfEvent,Place,TypeOfRoad,Event,Vehicle1,Vehicle2,Outcome,AgeV1,AgeV2,TypeV2,Crossroad,Hour,GenderV1,GenderV2,AlchoholV2
10.10.2016,09.10.2016,Гостивар,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,54,Нисан,не,19:55,,,
14.10.2016,13.10.2016,Скопје,Urban,спасување,,,,,,,,,,,
07.11.2016,06.11.2016,Кочани,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,52,Мерцедес,не,13:40,,,
10.11.2016,20.09.2016,Скопје,Open,сообраќајна незгода,велосипед,автомобил,смрт,19,44,Мерцедес,не,,,,
17.11.2016,16.11.2016,Струмица,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,50,26,Форд,не,12:40,,,
22.11.2016,21.11.2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,64,33,Автобус,не,6:30,,,
07.12.2016,06.12.2016,с.Истибања,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,67,,Сеат Кордоба,не,18:00,,,
17.12.2016,16.12.2016,Прилеп,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,35,Фолксваген Голф,не,18:00,,,
24.12.2016,23.12.2016,Берово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,75,62,Хјундаи,да,10:30,,,
11.01.2017,11.01.2017,Скопје,Urban,кражба на велосипед,,,,,,,,,,,
05.03.2017,04.03.2017,с.Студеничани,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,9,33,Рено Меган,не,14:54,,,
15.03.2017,14.03.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,59,39,Киа Сид,да,14:00,,,
18.03.2017,17.03.2017,Охрид,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,52,42,Фиат Фиорино,не,15:40,,,
19.03.2017,18.03.2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,35,36,Ровер,не,18:45,,,
19.03.2017,18.03.2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,35,36,Форд Фокус,не,18:45,,,
20.03.2017,19.03.2017,Скопје,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,70,33,Фолксваген Голф,не,11:15,,,
23.03.2017,22.03.2017,Гостивар,Urban,напад на велосипедист,,,,,,,,,,,
23.03.2017,22.03.2017,с.Долно Коњари,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,9,25,Форд Фокус,не,16:30,,,
31.03.2017,31.03.2017,Охрид,Urban,кражба на велосипед,,,,,,,,,,,
12.04.2017,12.04.2017,с.Јурумлери,Open,сообраќајна незгода,велосипед,автомобил,непознато,,45,Мерцедес,не,,,,
18.04.2017,18.04.2017,Охрид,Urban,кражба на велосипед,,,,,,,,,,,
03.05.2017,02.05.2017,Охрид,Urban,кражба на велосипед,,,,,,,,,,,
27.05.2017,26.05.2017,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,61,75,Рено Меган,не,22:10,,,
01.06.2017,31.05.2017,Скопје,Urban,сообраќајна незгода,велосипед,пешак,тешка повреда,,45,,,23:30,,,
07.06.2017,06.06.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,72,27,Мерцедес,да,13:00,,,
16.06.2017,14.06.2017,с.Теново,Rural,кражба на велосипед,,,,,,,,,,,
17.06.2017,16.06.2017,Кавадарци,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,80,29,Опел Корса,да,17:15,,,
19.06.2017,18.06.2017,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,53,29,Фолксваген Лупо,да,13:35,,,
20.06.2017,19.06.2017,с.Јурумлери,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,68,27,Фолксваген Поло,не,18:00,,,
22.06.2017,21.06.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,34,43,Ивеко,не,8:29,,,
24.06.2017,23.06.2017,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,10,29,Фолксваген Голф,да,18:30,,,
29.06.2017,29.06.2017,с.Прибачево,Rural,сообраќајна незгода,велосипед,автомобил,смрт,76,52,Пежо,не,6:40,,,
05.07.2017,04.07.2017,Делчево,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,65,33,Форд Фиеста,не,15:25,,,
12.07.2017,11.07.2017,с.Батинци,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,48,Алфа Ромео,не,20:47,,,
12.07.2017,11.07.2017,с.Батинци,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,16,48,Алфа Ромео,не,20:47,,,
17.07.2017,14.07.2017,Струга,Urban,кражба на велосипед,,,,,,,,,,,
24.07.2017,23.07.2017,Тетово,Urban,сообраќајна незгода,велосипед,пешак,непознато,,,,,,,,
28.07.2017,27.07.2017,с.Ново Село,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,7,56,Ауди,не,19:12,,,
31.07.2017,30.07.2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,26,47,Автобус,да,18:50,,,
26.08.2017,25.08.2017,Битола,Urban,сообраќајна незгода,велосипед,,тешка повреда,8,,,не,18:40,,,
30.08.2017,29.08.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,66,27,Мерцедес,не,9:40,,,
31.08.2017,30.08.2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,62,20,Опел Корса,не,22:30,,,
03.09.2017,02.09.2017,Тетово,Urban,напад на велосипедист,,,,50,26,Форд Ескорт,не,18:25,,,
05.09.2017,04.09.2017,Скопје,Open,сообраќајна незгода,велосипед,автомобил,смрт,30,61,ФАП,да,14:30,,,
22.11.2017,21.11.2017,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,51,42,Опел Корса,не,18:00,,,
26.11.2017,25.11.2017,Гостивар,Urban,сообраќајна незгода,велосипед,автомобил,смрт,73,66,Фиат Темпра,не,13:45,,,
03.12.2017,02.12.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,61,Фиат Добло,да,17:30,,,
03.12.2017,02.12.2017,с.Драчево,Rural,напад на велосипедист,,,,70,,,,8:00,,,
23.12.2017,22.12.2017,Скопје,Urban,напад на велосипедист,,,,20,,,,11:30,,,
27.12.2017,26.12.2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,50,54,Фиат Дукато,да,7:00,,,
30.12.2017,29.12.2017,Кичево,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,76,23,Опел Астра,да,19:20,,,
12.01.2018,11.01.2018,Скопје,Urban,напад на велосипедист,,,,57,,,,10:30,,,
19.01.2018,18.01.2018,с.Облешево,Open,сообраќајна незгода,велосипед,автобус,смрт,58,60,Автобус,не,16:00,,,
21.01.2018,20.01.2018,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,64,40,Фолксваген Поло,да,17:20,,,
03.02.2018,02.02.2018,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,51,41,Пежо 208,да,8:30,ж,,
04.02.2018,03.02.2018,Скопје,Urban,напад на велосипедист,,,повреда,63,,,не,11:45,,,
19.02.2018,18.02.2018,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,56,61,Сеат Кордоба,не,5:40,,,
22.02.2018,21.02.2018,Скопје,Urban,напад на велосипедист,,,повреда,73,,,,11:00,,,
