Дата на записник,Дата на незгода,Ден на незгода,Месец на незгода,Година на незгода,Ден од неделата,Време на незгода,Час на незгода,Место на незгода,Тип на пат,Соучесник во незгодата,Последица,Возраст на велосипедист,Возраст на автомобилист,Тип на возило,Раскрсница,Регион,Општина,Општина латиница
2016-09-04T00:00:00Z,2016-09-03T00:00:00Z,3,Септември,2016,Сабота,10:40:00,10,Скопје,Градски пат,автомобил,тешка повреда,89,28,Форд Фиеста,не,Скопски,Ѓорче Петров,Skopje
2016-09-06T00:00:00Z,2016-09-05T00:00:00Z,5,Септември,2016,Понеделник,12:30:00,12,Тетово,Градски пат,автомобил,тешка повреда,12,47,Ауди,да,Полошки,Тетово,Tetovo
2016-09-11T00:00:00Z,2016-09-10T00:00:00Z,10,Септември,2016,Сабота,16:00:00,16,Скопје,Отворен пат,мотор,животна опасност,16,18,Мотор,не,Скопски,Центар,Skopje
2016-09-16T00:00:00Z,2016-09-15T00:00:00Z,15,Септември,2016,Четврток,16:30:00,16,Куманово,Градски пат,автомобил,тешка повреда,5,24,БМВ,не,Североисточен,Куманово,Kumanovo
2016-09-21T00:00:00Z,2016-09-20T00:00:00Z,20,Септември,2016,Вторник,"NA",NA,Скопје,Отворен пат,автомобил,животна опасност,19,54,Мерцедес,не,Скопски,Петровец,Petrovec
2016-10-01T00:00:00Z,2016-09-30T00:00:00Z,30,Септември,2016,Петок,12:00:00,12,Струга,Градски пат,автомобил,тешка повреда,72,74,Цитроен Ц3,не,Југозападен,Струга,Struga
2016-10-03T00:00:00Z,2016-10-02T00:00:00Z,2,Октомври,2016,Недела,16:40:00,16,с. Аргулица,Отворен пат,автомобил,смрт,80,51,Лада Нива,не,Источен,Карбинци,Karbinci
2016-10-07T00:00:00Z,2016-10-06T00:00:00Z,6,Октомври,2016,Четврток,19:45:00,19,Скопје,Градски пат,автомобил,тешка повреда,22,NA,Фолксваген Пасат,не,Скопски,Ѓорче Петров,Skopje
2016-10-08T00:00:00Z,2016-10-07T00:00:00Z,7,Октомври,2016,Петок,11:15:00,11,Прилеп,Градски пат,автомобил,тешка повреда,77,NA,Комбе,не,Пелагониски,Прилеп,Prilep
2016-10-10T00:00:00Z,2016-10-09T00:00:00Z,9,Октомври,2016,Недела,11:37:00,11,Битола,Градски пат,автомобил,тешка повреда,40,24,БМВ,да,Пелагониски,Битола,Bitola
2016-10-10T00:00:00Z,2016-10-09T00:00:00Z,9,Октомври,2016,Недела,19:55:00,19,Гостивар,Отворен пат,автомобил,тешка повреда,13,54,Нисан,не,Полошки,Гостивар,Gostivar
2016-11-07T00:00:00Z,2016-11-06T00:00:00Z,6,Ноември,2016,Недела,13:40:00,13,Кочани,Отворен пат,автомобил,тешка повреда,65,52,Мерцедес,не,Источен,Кочани,Kočani
2016-11-10T00:00:00Z,2016-09-20T00:00:00Z,20,Септември,2016,Вторник,"NA",NA,Скопје,Отворен пат,автомобил,смрт,19,44,Мерцедес,не,Скопски,Петровец,Petrovec
2016-11-17T00:00:00Z,2016-11-16T00:00:00Z,16,Ноември,2016,Среда,12:40:00,12,Струмица,Градски пат,автомобил,тешка повреда,50,26,Форд,не,Југоисточен,Струмица,Strumica
2016-11-22T00:00:00Z,2016-11-21T00:00:00Z,21,Ноември,2016,Понеделник,06:30:00,6,Охрид,Градски пат,автомобил,тешка повреда,64,33,Автобус,не,Југозападен,Охрид,Ohrid
2016-12-07T00:00:00Z,2016-12-06T00:00:00Z,6,Декември,2016,Вторник,18:00:00,18,с. Истибања,Отворен пат,автомобил,тешка повреда,67,NA,Сеат Кордоба,не,Источен,Виница,Vinica
2016-12-17T00:00:00Z,2016-12-16T00:00:00Z,16,Декември,2016,Петок,18:00:00,18,Прилеп,Отворен пат,автомобил,тешка повреда,65,35,Фолксваген Голф,не,Пелагониски,Прилеп,Prilep
2016-12-24T00:00:00Z,2016-12-23T00:00:00Z,23,Декември,2016,Петок,10:30:00,10,Берово,Градски пат,автомобил,тешка повреда,75,62,Хјундаи,да,Источен,Берово,Berovo
2017-03-05T00:00:00Z,2017-03-04T00:00:00Z,4,Март,2017,Сабота,14:54:00,14,с. Студеничани,Селски пат,автомобил,тешка повреда,9,33,Рено Меган,не,Скопски,Студеничани,Studeničani
2017-03-15T00:00:00Z,2017-03-14T00:00:00Z,14,Март,2017,Вторник,14:00:00,14,Скопје,Градски пат,автомобил,тешка повреда,59,39,Киа Сид,да,Скопски,Аеродром,Skopje
2017-03-18T00:00:00Z,2017-03-17T00:00:00Z,17,Март,2017,Петок,15:40:00,15,Охрид,Отворен пат,автомобил,тешка повреда,52,42,Фиат Фиорино,не,Југозападен,Охрид,Ohrid
2017-03-19T00:00:00Z,2017-03-18T00:00:00Z,18,Март,2017,Сабота,18:45:00,18,Тетово,Градски пат,автомобил,тешка повреда,35,36,Ровер,не,Полошки,Тетово,Tetovo
2017-03-19T00:00:00Z,2017-03-18T00:00:00Z,18,Март,2017,Сабота,18:45:00,18,Тетово,Градски пат,автомобил,тешка повреда,35,36,Форд Фокус,не,Полошки,Тетово,Tetovo
2017-03-20T00:00:00Z,2017-03-19T00:00:00Z,19,Март,2017,Недела,11:15:00,11,Скопје,Селски пат,автомобил,тешка повреда,70,33,Фолксваген Голф,не,Скопски,Сарај,Saraǰ
2017-03-23T00:00:00Z,2017-03-22T00:00:00Z,22,Март,2017,Среда,16:30:00,16,с. Долно Коњари,Селски пат,автомобил,тешка повреда,9,25,Форд Фокус,не,Скопски,Петровец,Petrovec
2017-04-12T00:00:00Z,2017-04-12T00:00:00Z,12,Април,2017,Среда,"NA",NA,с. Јурумлери,Отворен пат,автомобил,непознато,NA,45,Мерцедес,не,Скопски,Гази Баба,Skopje
2017-05-27T00:00:00Z,2017-05-26T00:00:00Z,26,Мај,2017,Петок,22:10:00,22,Охрид,Градски пат,автомобил,тешка повреда,61,75,Рено Меган,не,Југозападен,Охрид,Ohrid
2017-06-01T00:00:00Z,2017-05-31T00:00:00Z,31,Мај,2017,Среда,23:30:00,23,Скопје,Градски пат,пешак,тешка повреда,NA,45,NA,NA,Скопски,Центар,Skopje
2017-06-07T00:00:00Z,2017-06-06T00:00:00Z,6,Јуни,2017,Вторник,13:00:00,13,Скопје,Градски пат,автомобил,тешка повреда,72,27,Мерцедес,да,Скопски,Ѓорче Петров,Skopje
2017-06-17T00:00:00Z,2017-06-16T00:00:00Z,16,Јуни,2017,Петок,17:15:00,17,Кавадарци,Градски пат,автомобил,тешка повреда,80,29,Опел Корса,да,Вардарски,Кавадарци,Kavadarci
2017-06-19T00:00:00Z,2017-06-18T00:00:00Z,18,Јуни,2017,Недела,13:35:00,13,Прилеп,Градски пат,автомобил,тешка повреда,53,29,Фолксваген Лупо,да,Пелагониски,Прилеп,Prilep
2017-06-20T00:00:00Z,2017-06-19T00:00:00Z,19,Јуни,2017,Понеделник,18:00:00,18,с. Јурумлери,Селски пат,автомобил,тешка повреда,68,27,Фолксваген Поло,не,Скопски,Гази Баба,Skopje
2017-06-22T00:00:00Z,2017-06-21T00:00:00Z,21,Јуни,2017,Среда,08:29:00,8,Скопје,Градски пат,автомобил,тешка повреда,34,43,Ивеко,не,Скопски,Центар,Skopje
2017-06-24T00:00:00Z,2017-06-23T00:00:00Z,23,Јуни,2017,Петок,18:30:00,18,Прилеп,Градски пат,автомобил,тешка повреда,10,29,Фолксваген Голф,да,Пелагониски,Прилеп,Prilep
2017-06-29T00:00:00Z,2017-06-29T00:00:00Z,29,Јуни,2017,Четврток,06:40:00,6,с. Прибачево,Селски пат,автомобил,смрт,76,52,Пежо,не,Источен,Кочани,Kočani
2017-07-05T00:00:00Z,2017-07-04T00:00:00Z,4,Јули,2017,Вторник,15:25:00,15,Делчево,Отворен пат,автомобил,животна опасност,65,33,Форд Фиеста,не,Источен,Делчево,Delčevo
2017-07-12T00:00:00Z,2017-07-11T00:00:00Z,11,Јули,2017,Вторник,20:47:00,20,с. Батинци,Селски пат,автомобил,тешка повреда,13,48,Алфа Ромео,не,Скопски,Студеничани,Studeničani
2017-07-12T00:00:00Z,2017-07-11T00:00:00Z,11,Јули,2017,Вторник,20:47:00,20,с. Батинци,Селски пат,автомобил,тешка повреда,16,48,Алфа Ромео,не,Скопски,Студеничани,Studeničani
2017-07-24T00:00:00Z,2017-07-23T00:00:00Z,23,Јули,2017,Недела,"NA",NA,Тетово,Градски пат,пешак,непознато,NA,NA,NA,NA,Полошки,Тетово,Tetovo
2017-07-28T00:00:00Z,2017-07-27T00:00:00Z,27,Јули,2017,Четврток,19:12:00,19,с. Ново Село,Селски пат,автомобил,тешка повреда,7,56,Ауди,не,Полошки,Врапчиште,Vrapčište
2017-07-31T00:00:00Z,2017-07-30T00:00:00Z,30,Јули,2017,Недела,18:50:00,18,Тетово,Градски пат,автомобил,тешка повреда,26,47,Автобус,да,Полошки,Тетово,Tetovo
2017-08-26T00:00:00Z,2017-08-25T00:00:00Z,25,Август,2017,Петок,18:40:00,18,Битола,Градски пат,NA,тешка повреда,8,NA,NA,не,Пелагониски,Битола,Bitola
2017-08-30T00:00:00Z,2017-08-29T00:00:00Z,29,Август,2017,Вторник,09:40:00,9,Скопје,Градски пат,автомобил,смрт,66,27,Мерцедес,не,Скопски,Илинден,Skopje
2017-08-31T00:00:00Z,2017-08-30T00:00:00Z,30,Август,2017,Среда,22:30:00,22,Тетово,Градски пат,автомобил,тешка повреда,62,20,Опел Корса,не,Полошки,Тетово,Tetovo
2017-09-05T00:00:00Z,2017-09-04T00:00:00Z,4,Септември,2017,Понеделник,14:30:00,14,Скопје,Отворен пат,автомобил,смрт,30,61,ФАП,да,Скопски,Кисела Вода,Skopje
2017-11-22T00:00:00Z,2017-11-21T00:00:00Z,21,Ноември,2017,Вторник,18:00:00,18,Битола,Градски пат,автомобил,тешка повреда,51,42,Опел Корса,не,Пелагониски,Битола,Bitola
2017-11-26T00:00:00Z,2017-11-25T00:00:00Z,25,Ноември,2017,Сабота,13:45:00,13,Гостивар,Градски пат,автомобил,смрт,73,66,Фиат Темпра,не,Полошки,Гостивар,Gostivar
2017-12-03T00:00:00Z,2017-12-02T00:00:00Z,2,Декември,2017,Сабота,17:30:00,17,Скопје,Градски пат,автомобил,тешка повреда,65,61,Фиат Добло,да,Скопски,Карпош,Skopje
2017-12-27T00:00:00Z,2017-12-26T00:00:00Z,26,Декември,2017,Вторник,07:00:00,7,Скопје,Градски пат,автомобил,тешка повреда,50,54,Фиат Дукато,да,Скопски,Карпош,Skopje
2017-12-30T00:00:00Z,2017-12-29T00:00:00Z,29,Декември,2017,Петок,19:20:00,19,Кичево,Градски пат,автомобил,тешка повреда,76,23,Опел Астра,да,Југозападен,Кичево,Kičevo
2018-01-19T00:00:00Z,2018-01-18T00:00:00Z,18,Јануари,2018,Четврток,16:00:00,16,с. Облешево,Отворен пат,автобус,смрт,58,60,Автобус,не,Источен,Чешиново-Облешево,Češinovo-Obleševo
2018-01-21T00:00:00Z,2018-01-20T00:00:00Z,20,Јануари,2018,Сабота,17:20:00,17,Скопје,Градски пат,автомобил,тешка повреда,64,40,Фолксваген Поло,да,Скопски,Кисела Вода,Skopje
2018-02-03T00:00:00Z,2018-02-02T00:00:00Z,2,Февруари,2018,Петок,08:30:00,8,Тетово,Градски пат,автомобил,тешка повреда,51,41,Пежо 208,да,Полошки,Тетово,Tetovo
2018-02-19T00:00:00Z,2018-02-18T00:00:00Z,18,Февруари,2018,Недела,05:40:00,5,Куманово,Градски пат,автомобил,тешка повреда,56,61,Сеат Кордоба,не,Североисточен,Куманово,Kumanovo
