DateOfRecord,DateOfEvent,Day,Month,Year,Place,TypeOfRoad,Event,Vehicle1,Vehicle2,Outcome,AgeV1,AgeV2,TypeV2,Crossroad,Hour,H,M,GenderV1,GenderV2,AlchoholV2,Region,Mun,Hours,Mun2,MunLatin,MunLatin2
26.08.2016,25.08.2016,25,08,2016,с.Теарце,Open,сообраќајна незгода,велосипед,пешак,тешка повреда,31,29,NA,не,21:45,21,45,NA,NA,NA,Полошки,Теарце,21,Теарце,Tearce,Tearce
27.08.2016,26.08.2016,26,08,2016,Виница,Open,сообраќајна незгода,велосипед,автомобил,смрт,71,41,Комбе,не,6:40,6,40,NA,NA,NA,Источен,NA,6,Виница,Vinica,Vinica
04.09.2016,03.09.2016,03,09,2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,89,28,Форд Фиеста,не,10:40,10,40,NA,NA,NA,Скопски,Ѓорче Петров,10,Ѓорче Петров,Skopje,Skopje
06.09.2016,05.09.2016,05,09,2016,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,12,47,Ауди,да,12:30,12,30,NA,NA,NA,Полошки,NA,12,Тетово,Tetovo,Tetovo
11.09.2016,10.09.2016,10,09,2016,Скопје,Open,сообраќајна незгода,велосипед,мотор,животна опасност,16,18,Мотор,не,16:00,16,00,NA,NA,NA,Скопски,Центар,16,Центар,Skopje,Skopje
16.09.2016,15.09.2016,15,09,2016,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,5,24,БМВ,не,16:30,16,30,NA,NA,NA,Североисточен,NA,16,Куманово,Kumanovo,Kumanovo
21.09.2016,20.09.2016,20,09,2016,Скопје,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,19,54,Мерцедес,не,19,19,NA,NA,NA,NA,Скопски,Петровец,19,Петровец,Petrovec,Petrovec
01.10.2016,30.09.2016,30,09,2016,Струга,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,72,74,Цитроен Ц3,не,12:00,12,00,NA,NA,NA,Југозападен,NA,12,Струга,Struga,Struga
03.10.2016,02.10.2016,02,10,2016,с.Аргулица,Open,сообраќајна незгода,велосипед,автомобил,смрт,80,51,Лада Нива,не,16:40,16,40,NA,NA,да,Источен,Карбинци,16,Карбинци,Karbinci,Karbinci
07.10.2016,06.10.2016,06,10,2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,22,NA,Фолксваген Пасат,не,19:45,19,45,NA,NA,NA,Скопски,Ѓорче Петров,19,Ѓорче Петров,Skopje,Skopje
08.10.2016,07.10.2016,07,10,2016,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,77,NA,Комбе,не,11:15,11,15,NA,NA,NA,Пелагониски,NA,11,Прилеп,Prilep,Prilep
10.10.2016,09.10.2016,09,10,2016,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,40,24,БМВ,да,11:37,11,37,NA,NA,NA,Пелагониски,NA,11,Битола,Bitola,Bitola
10.10.2016,09.10.2016,09,10,2016,Гостивар,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,54,Нисан,не,19:55,19,55,NA,NA,NA,Полошки,NA,19,Гостивар,Gostivar,Gostivar
07.11.2016,06.11.2016,06,11,2016,Кочани,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,52,Мерцедес,не,13:40,13,40,NA,NA,NA,Источен,NA,13,Кочани,Kočani,Kočani
10.11.2016,20.09.2016,20,09,2016,Скопје,Open,сообраќајна незгода,велосипед,автомобил,смрт,19,44,Мерцедес,не,NA,NA,NA,NA,NA,NA,Скопски,Петровец,NA,Петровец,Petrovec,Petrovec
17.11.2016,16.11.2016,16,11,2016,Струмица,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,50,26,Форд,не,12:40,12,40,NA,NA,NA,Југоисточен,NA,12,Струмица,Strumica,Strumica
22.11.2016,21.11.2016,21,11,2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,64,33,Автобус,не,6:30,6,30,NA,NA,NA,Југозападен,NA,6,Охрид,Ohrid,Ohrid
07.12.2016,06.12.2016,06,12,2016,с.Истибања,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,67,NA,Сеат Кордоба,не,18:00,18,00,NA,NA,NA,Источен,Виница,18,Виница,Vinica,Vinica
17.12.2016,16.12.2016,16,12,2016,Прилеп,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,35,Фолксваген Голф,не,18:00,18,00,NA,NA,NA,Пелагониски,NA,18,Прилеп,Prilep,Prilep
24.12.2016,23.12.2016,23,12,2016,Берово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,75,62,Хјундаи,да,10:30,10,30,NA,NA,NA,Источен,NA,10,Берово,Berovo,Berovo
05.03.2017,04.03.2017,04,03,2017,с.Студеничани,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,9,33,Рено Меган,не,14:54,14,54,NA,NA,NA,Скопски,Студеничани,14,Студеничани,Studeničani,Studeničani
15.03.2017,14.03.2017,14,03,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,59,39,Киа Сид,да,14:00,14,00,NA,NA,NA,Скопски,Аеродром,14,Аеродром,Skopje,Skopje
18.03.2017,17.03.2017,17,03,2017,Охрид,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,52,42,Фиат Фиорино,не,15:40,15,40,NA,NA,NA,Југозападен,NA,15,Охрид,Ohrid,Ohrid
19.03.2017,18.03.2017,18,03,2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,35,36,Ровер,не,18:45,18,45,NA,NA,NA,Полошки,NA,18,Тетово,Tetovo,Tetovo
19.03.2017,18.03.2017,18,03,2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,35,36,Форд Фокус,не,18:45,18,45,NA,NA,NA,Полошки,NA,18,Тетово,Tetovo,Tetovo
20.03.2017,19.03.2017,19,03,2017,Скопје,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,70,33,Фолксваген Голф,не,11:15,11,15,NA,NA,NA,Скопски,Сарај,11,Сарај,Saraǰ,Saraǰ
23.03.2017,22.03.2017,22,03,2017,с.Долно Коњари,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,9,25,Форд Фокус,не,16:30,16,30,NA,NA,NA,Скопски,Петровец,16,Петровец,Petrovec,Petrovec
12.04.2017,12.04.2017,12,04,2017,с.Јурумлери,Open,сообраќајна незгода,велосипед,автомобил,непознато,NA,45,Мерцедес,не,NA,NA,NA,NA,NA,NA,Скопски,Гази Баба,NA,Гази Баба,Skopje,Skopje
27.05.2017,26.05.2017,26,05,2017,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,61,75,Рено Меган,не,22:10,22,10,NA,NA,NA,Југозападен,NA,22,Охрид,Ohrid,Ohrid
01.06.2017,31.05.2017,31,05,2017,Скопје,Urban,сообраќајна незгода,велосипед,пешак,тешка повреда,NA,45,NA,NA,23:30,23,30,NA,NA,NA,Скопски,Центар,23,Центар,Skopje,Skopje
07.06.2017,06.06.2017,06,06,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,72,27,Мерцедес,да,13:00,13,00,NA,NA,NA,Скопски,Ѓорче Петров,13,Ѓорче Петров,Skopje,Skopje
17.06.2017,16.06.2017,16,06,2017,Кавадарци,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,80,29,Опел Корса,да,17:15,17,15,NA,NA,NA,Вардарски,NA,17,Кавадарци,Kavadarci,Kavadarci
19.06.2017,18.06.2017,18,06,2017,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,53,29,Фолксваген Лупо,да,13:35,13,35,NA,NA,NA,Пелагониски,NA,13,Прилеп,Prilep,Prilep
20.06.2017,19.06.2017,19,06,2017,с.Јурумлери,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,68,27,Фолксваген Поло,не,18:00,18,00,NA,NA,NA,Скопски,Гази Баба,18,Гази Баба,Skopje,Skopje
22.06.2017,21.06.2017,21,06,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,34,43,Ивеко,не,8:29,8,29,NA,NA,NA,Скопски,Центар,8,Центар,Skopje,Skopje
24.06.2017,23.06.2017,23,06,2017,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,10,29,Фолксваген Голф,да,18:30,18,30,NA,NA,NA,Пелагониски,NA,18,Прилеп,Prilep,Prilep
29.06.2017,29.06.2017,29,06,2017,с.Прибачево,Rural,сообраќајна незгода,велосипед,автомобил,смрт,76,52,Пежо,не,6:40,6,40,NA,NA,NA,Источен,Кочани,6,Кочани,Kočani,Kočani
05.07.2017,04.07.2017,04,07,2017,Делчево,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,65,33,Форд Фиеста,не,15:25,15,25,NA,NA,NA,Источен,NA,15,Делчево,Delčevo,Delčevo
